what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1256930789612
os,sysinfo,,,"win32",1256930789620
arch,sysinfo,,,"x86",1256930789620
ws,sysinfo,,,"win32",1256930789620
locale,sysinfo,,,"zh_CN",1256930789620
processors,sysinfo,,,"2",1256930789620
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1256930789620
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1256930789620
java.specification.name,sysinfo,,,"Java Platform API Specification",1256930789620
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1256930789620
java.specification.version,sysinfo,,,"1.6",1256930789620
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1256930789620
java.version,sysinfo,,,"1.6.0_16",1256930789620
java.vm.info,sysinfo,,,"mixed mode, sharing",1256930789620
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1256930789620
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1256930789620
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1256930789620
java.vm.specification.version,sysinfo,,,"1.0",1256930789620
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1256930789620
java.vm.version,sysinfo,,,"14.2-b01",1256930789620
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1256931792103
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1256931792166
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256931795322
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1256931813791
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1256931815384
